Tabela de observabilidade - Troianos - IAG


Iluninação da lua: 53.3 %


--------------------------------------------------------------------------------------------------------------------------------------------------------


Objeto                           |  mag  | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
28978 Ixion (2001 KX76)          |  19.4 |       |       |       |       |       |       |       |       |  42.7 |  55.4 |  67.8 |  78.3 |  78.4 |
471143 Dziewanna (2010 EK139)    |  19.5 |       |       |       |       |       |  44.5 |  53.5 |  60.6 |  63.9 |  62.1 |  55.9 |  47.4 |  37.8 |
160140 (2001 DZ3)                |  19.6 |       |  39.9 |  53.5 |  66.5 |  76.4 |  74.7 |  63.6 |  50.3 |  36.6 |       |       |       |       |
82055 (2000 TY40)                |  19.6 |  41.5 |       |       |       |       |       |       |       |       |       |       |       |       |
38628 Huya (2000 EB173)          |  19.7 |       |       |       |       |       |       |       |       |  47.9 |  61.0 |  71.9 |  74.9 |  66.6 |
661238 (2004 DA62)               |  19.7 |       |       |       |       |       |  43.8 |  52.8 |  60.0 |  63.6 |  62.2 |  56.3 |  47.9 |  38.4 |
229762 G!kun||'homdima (2007 UK1 |  19.7 |  52.8 |  41.9 |       |       |       |       |       |       |       |       |       |       |       |
55565 Aya (2002 AW197)           |  20.0 |  42.8 |  56.2 |  68.2 |  75.2 |  70.5 |  59.0 |  45.8 |       |       |       |       |       |       |
90568 Goibniu (2004 GV9)         |  20.1 |       |       |       |       |       |  39.3 |  52.9 |  66.5 |  80.2 |  85.3 |  71.9 |  58.3 |  44.7 |
95626 (2002 GZ32)                |  20.2 |       |       |       |       |       |       |       |       |       |  35.4 |  49.1 |  62.8 |  76.7 |
174567 Varda (2003 MW12)         |  20.2 |       |       |       |       |       |       |       |       |  43.4 |  55.8 |  65.8 |  69.2 |  63.5 |
469442 (2002 GG166)              |  20.2 |       |       |       |       |       |       |       |       |       |  47.2 |  60.3 |  73.1 |  82.7 |
208996 Achlys (2003 AZ84)        |  20.3 |  53.6 |  60.6 |  61.1 |  54.8 |  44.4 |       |       |       |       |       |       |       |       |
120348 (2004 TY364)              |  20.3 |  38.3 |       |       |       |       |       |       |       |       |       |       |       |       |
20000 Varuna (2000 WR106)        |  20.4 |       |  39.0 |  40.2 |  37.3 |       |       |       |       |       |       |       |       |       |
145453 (2005 RR43)               |  20.4 |  38.8 |       |       |       |       |       |       |       |       |       |       |       |       |
307261 Mani (2002 MS4)           |  20.4 |       |       |       |       |       |       |       |       |       |  41.1 |  54.3 |  65.8 |  72.3 |
308193 (2005 CB79)               |  20.5 |       |       |       |  35.6 |  38.9 |  38.3 |       |       |       |       |       |       |       |
(2014 YA50)                      |  20.7 |       |       |       |  38.0 |  47.8 |  54.0 |  54.8 |  49.7 |  40.6 |       |       |       |       |
145451 Rumina (2005 RM43)        |  20.7 |  38.3 |       |       |       |       |       |       |       |       |       |       |       |       |
278361 (2007 JJ43)               |  20.7 |       |       |       |       |       |       |       |  42.1 |  55.6 |  69.2 |  82.6 |  82.6 |  69.2 |
555632 (2014 BZ57)               |  20.7 |  48.3 |  62.1 |  75.4 |  82.7 |  72.8 |  59.4 |  45.5 |       |       |       |       |       |       |
119979 (2002 WC19)               |  20.8 |  45.1 |  40.2 |       |       |       |       |       |       |       |       |       |       |       |
119951 (2002 KX14)               |  20.8 |       |       |       |       |       |       |       |  35.9 |  49.5 |  63.2 |  77.0 |  88.7 |  75.3 |
678191 (2017 OF69)               |  20.8 |       |       |       |       |       |       |       |       |       |       |       |  46.6 |  59.0 |
55638 (2002 VE95)                |  20.8 |  61.3 |  57.4 |  48.3 |  36.6 |       |       |       |       |       |       |       |       |       |
543354 (2014 AN55)               |  20.9 |  39.2 |  51.0 |  60.2 |  63.8 |  59.7 |  50.3 |  38.3 |       |       |       |       |       |       |
315530 (2008 AP129)              |  20.9 |       |       |       |  37.0 |  37.0 |       |       |       |       |       |       |       |       |
120132 (2003 FY128)              |  21.0 |       |       |       |       |  48.0 |  61.6 |  75.3 |  88.1 |  76.9 |  63.1 |  49.5 |  35.9 |       |
880665 (2014 WP509)              |  21.0 |  39.5 |  39.0 |       |       |       |       |       |       |       |       |       |       |       |
60558 Echeclus (2000 EC98)       |  21.0 |  47.8 |  51.0 |  48.7 |  41.9 |       |       |       |       |       |       |       |       |       |
455502 (2003 UZ413)              |  21.0 |  35.8 |       |       |       |       |       |       |       |       |       |       |       |       |
470599 (2008 OG19)               |  21.0 |       |       |       |       |       |       |       |       |       |       |       |       |  47.7 |
523671 (2013 FZ27)               |  21.0 |       |  45.4 |  58.7 |  70.6 |  76.1 |  69.3 |  57.2 |  43.8 |       |       |       |       |       |
523644 (2010 VX11)               |  21.0 |  62.7 |  53.9 |  42.2 |       |       |       |       |       |       |       |       |       |       |
470308 (2007 JH43)               |  21.0 |       |       |       |       |       |       |       |  47.6 |  60.9 |  74.0 |  84.4 |  76.8 |  63.8 |
40314 (1999 KR16)                |  21.1 |       |       |       |       |       |       |       |  43.9 |  56.6 |  67.0 |  70.9 |  64.9 |  53.7 |
26375 (1999 DE9)                 |  21.1 |       |       |       |  48.0 |  61.8 |  74.7 |  81.3 |  71.9 |  58.7 |  44.9 |       |       |       |
120216 (2004 EW95)               |  21.1 |       |       |       |       |       |       |  44.9 |  55.1 |  63.8 |  68.6 |  66.7 |  59.5 |  49.8 |
(2010 EL139)                     |  21.3 |       |       |       |       |  43.7 |  55.1 |  65.4 |  72.3 |  71.4 |  63.5 |  52.8 |  41.4 |       |
(2010 FX86)                      |  21.3 |       |       |       |       |  36.4 |  47.1 |  57.2 |  65.3 |  68.9 |  65.6 |  57.7 |  47.6 |  36.9 |
556004 (2014 HA200)              |  21.3 |       |       |       |       |       |  36.2 |  49.9 |  63.2 |  74.5 |  76.8 |  67.1 |  54.1 |  40.4 |
768325 (2015 BP519)              |  21.3 |  60.3 |  47.1 |       |       |       |       |       |       |       |       |       |       |       |
471172 (2010 JC80)               |  21.3 |       |       |       |       |       |       |       |  43.1 |  56.7 |  70.3 |  83.7 |  81.7 |  68.2 |
523692 (2014 EZ51)               |  21.3 |       |       |       |       |       |  35.1 |  48.4 |  61.7 |  74.8 |  84.7 |  76.1 |  63.0 |  49.7 |
495613 (2015 FG345)              |  21.4 |       |       |       |       |       |  46.3 |  58.6 |  68.0 |  69.9 |  62.6 |  50.9 |  37.9 |       |
523752 (2014 VU37)               |  21.4 |  39.2 |       |       |       |       |       |       |       |       |       |       |       |       |
(2009 JE19)                      |  21.4 |       |       |       |       |       |  35.0 |  47.1 |  57.2 |  62.6 |  60.7 |  52.6 |  41.3 |       |
523681 (2014 BV64)               |  21.5 |  39.3 |  52.6 |  64.6 |  72.3 |  70.0 |  59.8 |  47.1 |       |       |       |       |       |       |
225088 Gonggong (2007 OR10)      |  21.5 |       |       |       |       |       |       |       |       |       |       |       |       |  40.3 |
471149 (2010 FB49)               |  21.5 |       |       |       |       |  35.5 |  48.5 |  60.0 |  67.5 |  66.8 |  58.4 |  46.5 |       |       |
82075 (2000 YW134)               |  21.5 |       |  38.9 |  45.6 |  48.1 |  45.6 |  38.8 |       |       |       |       |       |       |       |
559182 (2015 BZ518)              |  21.6 |       |       |       |       |       |  40.0 |  53.7 |  67.5 |  81.3 |  84.8 |  71.0 |  57.2 |  43.5 |
55576 Amycus (2002 GB10)         |  21.7 |       |       |       |       |       |       |       |       |       |       |  39.0 |  52.8 |  66.7 |
79360 Sila-Nunam (1997 CS29)     |  21.8 |  35.4 |  46.2 |  54.2 |  57.0 |  53.6 |  45.3 |       |       |       |       |       |       |       |
386723 (2009 YE7)                |  21.8 |  53.4 |  40.3 |       |       |       |       |       |       |       |       |       |       |       |
470309 (2007 JK43)               |  21.8 |       |       |       |       |       |       |       |       |       |       |  43.6 |  50.1 |  51.7 |
574372 (2010 JO179)              |  21.8 |       |       |       |       |       |       |       |  36.4 |  47.6 |  55.9 |  59.1 |  55.6 |  47.1 |
(2010 TJ)                        |  21.9 |  38.5 |       |       |       |       |       |       |       |       |       |       |       |       |
145474 (2005 SA278)              |  21.9 |  37.0 |       |       |       |       |       |       |       |       |       |       |       |       |
690420 (2014 FC72)               |  21.9 |       |       |       |       |  37.5 |  49.4 |  58.8 |  63.0 |  59.7 |  50.8 |  39.1 |       |       |
523705 (2014 HE200)              |  21.9 |       |       |       |       |       |  36.8 |  50.6 |  64.5 |  78.3 |  85.5 |  72.7 |  58.9 |  45.0 |
545293 (2011 FX62)               |  22.0 |       |       |       |       |       |  39.8 |  52.1 |  64.2 |  74.6 |  77.7 |  69.6 |  58.1 |  45.8 |
469506 (2003 FF128)              |  22.0 |       |       |       |       |       |       |       |  42.5 |  56.2 |  70.0 |  83.8 |  82.3 |  68.4 |
523713 (2014 JX80)               |  22.0 |       |       |       |       |       |       |       |       |  38.6 |  50.3 |  59.2 |  62.7 |  58.7 |
612911 (2004 XR190)              |  22.0 |  48.2 |  38.3 |       |       |       |       |       |       |       |       |       |       |       |
(2012 VB116)                     |  22.1 |  63.4 |  53.8 |  41.6 |       |       |       |       |       |       |       |       |       |       |
(2005 LB54)                      |  22.1 |       |       |       |       |       |       |       |       |  48.1 |  61.9 |  75.7 |  89.2 |  76.6 |
469505 (2003 FE128)              |  22.1 |       |       |       |       |       |       |  37.9 |  51.7 |  65.6 |  79.3 |  84.8 |  71.7 |  57.9 |
674118 (2015 KH162)              |  22.1 |       |       |       |       |       |       |  39.6 |  52.2 |  62.9 |  68.4 |  64.9 |  55.1 |  42.8 |
5145 Pholus (1992 AD)            |  22.1 |       |       |       |       |       |       |       |       |  37.1 |  51.0 |  64.7 |  77.3 |  80.8 |
532037 Chiminigagua (2013 FY27)  |  22.1 |       |  46.3 |  59.3 |  70.1 |  73.6 |  66.2 |  54.2 |  40.9 |       |       |       |       |       |
(2001 KA77)                      |  22.2 |       |       |       |       |       |       |       |       |  44.0 |  57.9 |  71.5 |  83.0 |  77.4 |
(2007 JF45)                      |  22.2 |       |       |       |       |       |       |       |  35.4 |  49.3 |  62.9 |  75.1 |  79.2 |  69.5 |
472262 (2014 QN441)              |  22.2 |  36.8 |       |       |       |       |       |       |       |       |       |       |       |       |
437360 (2013 TV158)              |  22.2 |  41.3 |       |       |       |       |       |       |       |       |       |       |       |       |
524366 (2001 XR254)              |  22.3 |  44.0 |  49.5 |  50.1 |  45.5 |  37.1 |       |       |       |       |       |       |       |       |
471339 (2011 ON45)               |  22.3 |  41.3 |  44.9 |  43.9 |  38.5 |       |       |       |       |       |       |       |       |       |
(2015 KK178)                     |  22.3 |       |       |       |       |       |       |       |  42.3 |  56.2 |  69.7 |  81.0 |  77.5 |  64.8 |
(2012 YF12)                      |  22.3 |  65.7 |  57.4 |  45.7 |       |       |       |       |       |       |       |       |       |       |
471325 Taowu (2011 KT19)         |  22.4 |       |       |       |       |       |       |       |  39.0 |  43.6 |  43.9 |  39.8 |       |       |
(2014 UY224)                     |  22.4 |  60.9 |  51.7 |  39.8 |       |       |       |       |       |       |       |       |       |       |
(2013 RG98)                      |  22.5 |  75.1 |  62.4 |  48.8 |       |       |       |       |       |       |       |       |       |       |
(2015 VT152)                     |  22.5 |  53.5 |  39.6 |       |       |       |       |       |       |       |       |       |       |       |
525462 (2005 EO304)              |  22.5 |       |       |       |       |  41.7 |  55.4 |  68.5 |  78.3 |  75.0 |  63.1 |  49.7 |  35.8 |       |
83982 Crantor (2002 GO9)         |  22.6 |       |       |       |       |       |       |       |       |       |       |       |       |  35.8 |
363330 (2002 PQ145)              |  22.6 |       |       |       |       |       |       |       |       |       |       |       |       |  39.4 |
(2014 SA365)                     |  22.6 |  64.8 |  54.1 |  41.3 |       |       |       |       |       |       |       |       |       |       |
763666 (2012 HX87)               |  22.6 |       |       |       |       |       |  42.2 |  55.5 |  68.9 |  81.6 |  81.9 |  69.2 |  55.9 |  42.5 |
(2014 GE54)                      |  22.8 |       |       |       |       |       |  38.7 |  51.4 |  62.1 |  67.8 |  64.8 |  55.3 |  43.1 |       |
33128 (1998 BU48)                |  22.9 |       |       |       |  42.2 |  52.2 |  58.1 |  57.9 |  51.5 |  41.3 |       |       |       |       |
729736 (2011 OF45)               |  23.0 |  36.6 |  49.6 |  61.3 |  68.8 |  67.7 |  58.9 |  46.8 |       |       |       |       |       |       |
527443 (2007 UM126)              |  23.0 |  85.1 |  76.2 |  62.5 |  48.6 |       |       |       |       |       |       |       |       |       |
(2014 VW37)                      |  23.1 |  57.9 |  44.0 |       |       |       |       |       |       |       |       |       |       |       |
(2005 TV189)                     |  23.1 |  68.3 |  61.9 |  50.8 |  37.9 |       |       |       |       |       |       |       |       |       |
(2004 VZ75)                      |  23.1 |  44.7 |  37.1 |       |       |       |       |       |       |       |       |       |       |       |
53311 Deucalion (1999 HU11)      |  23.1 |       |       |       |       |       |  38.8 |  52.6 |  66.5 |  80.3 |  84.8 |  71.2 |  57.4 |  43.5 |
649172 (2010 XE91)               |  23.1 |  56.3 |  49.6 |  39.4 |       |       |       |       |       |       |       |       |       |       |
65489 Ceto (2003 FX128)          |  23.2 |       |       |       |       |       |       |  39.6 |  52.1 |  62.3 |  67.1 |  63.4 |  53.7 |  41.4 |
620074 (2013 AT183)              |  23.2 |  46.5 |  53.4 |  55.1 |  50.9 |  42.3 |       |       |       |       |       |       |       |       |
(2008 UA332)                     |  23.2 |  38.8 |       |       |       |       |       |       |       |       |       |       |       |       |
(2014 SN350)                     |  23.2 |  36.2 |       |       |       |       |       |       |       |       |       |       |       |       |
527604 (2007 VL305)              |  23.2 |  54.1 |  41.2 |       |       |       |       |       |       |       |       |       |       |       |
(2014 YL50)                      |  23.3 |  36.1 |       |       |       |       |       |       |       |       |       |       |       |       |
(2014 QG442)                     |  23.3 |  37.7 |       |       |       |       |       |       |       |       |       |       |       |       |
495190 (2012 VS113)              |  23.3 |  39.2 |       |       |       |       |       |       |       |       |       |       |       |       |
(2014 TF86)                      |  23.3 |       |       |       |       |       |       |       |       |       |       |       |       |  35.6 |
(2016 VF1)                       |  23.3 |       |       |       |       |       |  37.6 |  50.1 |  60.5 |  66.0 |  63.3 |  54.3 |  42.3 |       |
58534 Logos (1997 CQ29)          |  23.3 |       |       |       |  45.5 |  58.0 |  67.8 |  70.3 |  63.4 |  51.9 |  38.9 |       |       |       |
(2014 SB349)                     |  23.3 |  40.8 |       |       |       |       |       |       |       |       |       |       |       |       |
(2006 HW122)                     |  23.3 |       |       |       |       |       |       |  39.3 |  52.9 |  66.7 |  80.5 |  85.6 |  71.8 |  58.0 |
472265 (2014 SR303)              |  23.3 |  41.2 |  45.3 |  44.8 |  39.8 |       |       |       |       |       |       |       |       |       |
(2016 FX58)                      |  23.4 |       |  37.1 |  50.9 |  64.4 |  76.2 |  78.4 |  67.8 |  54.6 |  40.8 |       |       |       |       |
(2014 QM441)                     |  23.4 |  36.5 |       |       |       |       |       |       |       |       |       |       |       |       |
15810 Arawn (1994 JR1)           |  23.5 |       |       |       |       |       |       |       |       |       |       |  45.7 |  59.6 |  73.4 |
(2014 XZ40)                      |  23.5 |  76.3 |  65.3 |  52.0 |  38.2 |       |       |       |       |       |       |       |       |       |
69987 (1998 WA25)                |  23.6 |  39.6 |       |       |       |       |       |       |       |       |       |       |       |       |
(2014 SO350)                     |  23.6 |  37.2 |       |       |       |       |       |       |       |       |       |       |       |       |
(2013 RQ98)                      |  23.7 |       |       |       |       |       |       |       |       |       |       |       |       |  43.4 |
534251 (2014 SW223)              |  23.7 |       |  38.4 |  40.6 |  38.5 |       |       |       |       |       |       |       |       |       |
(2013 PQ37)                      |  23.7 |       |       |       |       |       |       |       |  45.0 |  54.8 |  60.2 |  58.8 |  51.4 |  40.6 |
(2015 PD312)                     |  23.8 |  35.2 |       |       |       |       |       |       |       |       |       |       |       |       |
(2014 SR350)                     |  23.8 |       |       |       |       |       |       |       |       |       |       |       |       |  38.3 |
612687 (2003 UN284)              |  23.9 |  35.8 |       |       |       |       |       |       |       |       |       |       |       |       |
(2014 SZ348)                     |  24.1 |  57.9 |  44.3 |       |       |       |       |       |       |       |       |       |       |       |
667474 (2011 JX31)               |  24.1 |       |       |       |       |       |       |       |       |       |  41.1 |  54.9 |  68.8 |  82.5 |
(2014 FC69)                      |  24.1 |       |       |       |  35.2 |  48.2 |  61.1 |  73.6 |  82.1 |  75.3 |  63.0 |  50.1 |  37.1 |       |
(2014 VT37)                      |  24.3 |  47.9 |       |       |       |       |       |       |       |       |       |       |       |       |
(2013 JQ64)                      |  24.4 |       |       |       |       |       |       |  43.0 |  56.9 |  70.8 |  84.3 |  80.6 |  66.8 |  53.0 |
654190 (2014 YY49)               |  24.4 |  58.5 |  65.7 |  65.2 |  57.3 |  45.8 |       |       |       |       |       |       |       |       |
(2001 QW322)                     |  24.4 |       |       |       |       |       |       |       |       |       |       |       |       |  39.4 |
(2015 VV1)                       |  25.0 |  40.6 |  47.0 |  48.9 |  45.7 |  38.4 |       |       |       |       |       |       |       |       |
(2013 RN30)                      |  25.0 |  53.3 |  60.9 |  62.1 |  56.1 |  45.9 |       |       |       |       |       |       |       |       |
(2013 UR15)                      |  25.3 |  51.0 |  39.0 |       |       |       |       |       |       |       |       |       |       |       |
(2015 PK312)                     |  25.3 |  39.8 |       |       |       |       |       |       |       |       |       |       |       |       |
(2013 SV99)                      |  25.7 |       |       |       |       |       |       |       |  47.0 |  59.4 |  68.9 |  70.5 |  62.9 |  51.0 |
(2014 SS303)                     |  26.1 |  39.5 |  46.3 |  48.8 |  46.1 |  39.2 |       |       |       |       |       |       |       |       |
(2014 TK34)                      |  26.9 |       |       |       |       |  38.7 |  51.2 |  61.5 |  66.7 |  63.4 |  54.0 |  41.9 |       |       |
(2010 JH124)                     |  29.6 |  43.1 |       |       |       |       |       |       |       |       |       |       |       |       |
Bernardinelli-Bernstein (C/2014  |   inf |  39.0 |  35.2 |       |       |       |       |       |       |       |       |       |       |       |
---------------------------------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+


--------------------------------------------------------------------------------------------------------------------------------------------------------


Unidades: 
Nome | RA (hh mm ss.ss), DEC (dd mm ss.s) | EL (dd.d) AZ (dd.d) | magnitude aparente | moon_dis (dd.d)


Local Time: 2026-04-09 18:00 -- UTC: 2026-04-09 21:00
527443 (2007 UM126)                	| RA, DEC 07 13 50.15 -17 42 37.2	| EL, AZ: 85.1  13.7 	| Mag: 23.0 	| moon_dis: 136.5
447178 (2005 RO43)                 	| RA, DEC 07 43 53.83 -14 01 09.5	| EL, AZ: 78.2  46.0 	| Mag: 19.2 	| moon_dis: 139.4
(2014 XZ40)                        	| RA, DEC 06 37 07.24 -11 09 37.7	| EL, AZ: 76.3  324.9	| Mag: 23.5 	| moon_dis: 142.1
(2013 RG98)                        	| RA, DEC 06 19 45.67 -13 11 50.0	| EL, AZ: 75.1  306.5	| Mag: 22.5 	| moon_dis: 139.0
(2005 TV189)                       	| RA, DEC 06 53 42.64 -01 06 30.2	| EL, AZ: 68.3  349.8	| Mag: 23.1 	| moon_dis: 152.7
(2012 YF12)                        	| RA, DEC 06 32 42.49 +00 05 33.2	| EL, AZ: 65.7  337.6	| Mag: 22.3 	| moon_dis: 152.6
(2014 SA365)                       	| RA, DEC 06 06 06.97 -02 25 23.7	| EL, AZ: 64.8  320.7	| Mag: 22.6 	| moon_dis: 147.6
(2012 VB116)                       	| RA, DEC 06 14 10.49 +00 30 55.5	| EL, AZ: 63.4  328.2	| Mag: 22.1 	| moon_dis: 151.1
523644 (2010 VX11)                 	| RA, DEC 06 20 52.12 +02 06 13.3	| EL, AZ: 62.7  333.1	| Mag: 21.0 	| moon_dis: 153.3
55638 (2002 VE95)                  	| RA, DEC 07 05 11.60 +06 10 53.3	| EL, AZ: 61.3  358.2	| Mag: 20.8 	| moon_dis: 160.3
(2014 UY224)                       	| RA, DEC 06 11 47.88 +02 59 21.3	| EL, AZ: 60.9  329.6	| Mag: 22.4 	| moon_dis: 153.0
768325 (2015 BP519)                	| RA, DEC 04 59 53.19 -28 25 14.5	| EL, AZ: 60.3  251.9	| Mag: 21.3 	| moon_dis: 117.2
654190 (2014 YY49)                 	| RA, DEC 08 35 30.08 +00 55 47.6	| EL, AZ: 58.5  45.0 	| Mag: 24.4 	| moon_dis: 147.9
(2014 VW37)                        	| RA, DEC 04 51 43.68 -19 31 06.2	| EL, AZ: 57.9  269.0	| Mag: 23.1 	| moon_dis: 123.3
(2014 SZ348)                       	| RA, DEC 04 48 42.57 -24 57 20.1	| EL, AZ: 57.9  258.6	| Mag: 24.1 	| moon_dis: 118.6
649172 (2010 XE91)                 	| RA, DEC 06 30 21.80 +09 49 53.9	| EL, AZ: 56.3  342.8	| Mag: 23.1 	| moon_dis: 161.3
527604 (2007 VL305)                	| RA, DEC 05 04 06.45 -03 06 58.2	| EL, AZ: 54.1  298.2	| Mag: 23.2 	| moon_dis: 137.7
208996 Achlys (2003 AZ84)          	| RA, DEC 08 43 02.03 +05 44 40.3	| EL, AZ: 53.6  42.1 	| Mag: 20.3 	| moon_dis: 150.3
(2015 VT152)                       	| RA, DEC 04 37 35.89 -14 59 36.3	| EL, AZ: 53.5  275.2	| Mag: 22.5 	| moon_dis: 124.6
386723 (2009 YE7)                  	| RA, DEC 04 57 22.06 -04 30 29.3	| EL, AZ: 53.4  294.7	| Mag: 21.8 	| moon_dis: 135.5
(2013 RN30)                        	| RA, DEC 08 48 10.85 +05 01 54.3	| EL, AZ: 53.3  44.5 	| Mag: 25.0 	| moon_dis: 148.9
229762 G!kun||'homdima (2007 UK1   	| RA, DEC 05 29 58.89 +05 43 26.6	| EL, AZ: 52.8  316.6	| Mag: 19.7 	| moon_dis: 148.5
(2013 UR15)                        	| RA, DEC 05 08 18.20 +03 06 38.5	| EL, AZ: 51.0  307.3	| Mag: 25.3 	| moon_dis: 142.7
3451 Mentor (1984 HA1)             	| RA, DEC 04 53 30.71 +00 14 19.6	| EL, AZ: 49.9  300.1	| Mag: 16.5 	| moon_dis: 138.0
555632 (2014 BZ57)                 	| RA, DEC 10 03 20.99 -15 17 00.3	| EL, AZ: 48.3  88.1 	| Mag: 20.7 	| moon_dis: 121.4
612911 (2004 XR190)                	| RA, DEC 05 30 45.88 +11 40 16.8	| EL, AZ: 48.2  322.5	| Mag: 22.0 	| moon_dis: 152.3
(2014 VT37)                        	| RA, DEC 04 31 57.00 -04 22 46.2	| EL, AZ: 47.9  289.8	| Mag: 24.3 	| moon_dis: 130.9
60558 Echeclus (2000 EC98)         	| RA, DEC 08 13 54.92 +16 33 05.2	| EL, AZ: 47.8  23.7 	| Mag: 21.0 	| moon_dis: 162.8
620074 (2013 AT183)                	| RA, DEC 08 55 41.10 +12 17 51.2	| EL, AZ: 46.5  39.7 	| Mag: 23.2 	| moon_dis: 152.0
119979 (2002 WC19)                 	| RA, DEC 06 33 16.17 +21 31 54.2	| EL, AZ: 45.1  348.3	| Mag: 20.8 	| moon_dis: 170.2
